classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Neural Network,Random Sampling,0.2,0,1311,0.5274390243902439,0.18973819072172024,0.00015695889790852865,0.46794454256693524
Neural Network,Random Sampling,0.2,1,1311,0.5347560975609756,0.17710760392042973,0.00016673405965169272,0.11966951688130696
Neural Network,Random Sampling,0.2,2,1311,0.5170731707317073,0.17473423233885282,0.00017825762430826822,0.11570501327514648
Neural Network,Random Sampling,0.2,3,1311,0.526829268292683,0.1670471167609667,0.0001750787099202474,0.11646636327107747
Neural Network,Random Sampling,0.2,4,1311,0.5140243902439025,0.16037274848999183,0.0001929601033528646,0.12277746200561523
Neural Network,Random Sampling,0.4,0,2623,0.5365853658536586,0.18272772472499807,0.0001521905263264974,0.13011757532755533
Neural Network,Random Sampling,0.4,1,2623,0.5432926829268293,0.1752681912688875,0.0001508792241414388,0.1326993703842163
Neural Network,Random Sampling,0.4,2,2623,0.5390243902439025,0.17282848573404097,0.00015223026275634766,0.12932844956715903
Neural Network,Random Sampling,0.4,3,2623,0.5378048780487805,0.1796386725097111,0.00016673405965169272,0.13296782970428467
Neural Network,Random Sampling,0.4,4,2623,0.5323170731707317,0.16683823693266306,0.0001480579376220703,0.1276015043258667
Neural Network,Random Sampling,0.6,0,3935,0.5426829268292683,0.17099205696384934,0.00014287233352661133,0.15432387590408325
Neural Network,Random Sampling,0.6,1,3935,0.5408536585365854,0.17744716203434208,0.00014090538024902344,0.15092334151268005
Neural Network,Random Sampling,0.6,2,3935,0.5420731707317074,0.16996514417409517,0.00014534592628479004,0.15922331809997559
Neural Network,Random Sampling,0.6,3,3935,0.5426829268292683,0.1858668741821901,0.00013595819473266602,0.1527480185031891
Neural Network,Random Sampling,0.6,4,3935,0.5304878048780488,0.16688794842782906,0.0001544356346130371,0.15709424018859863
Neural Network,Random Sampling,0.8,0,5247,0.5426829268292683,0.17568203279208688,0.00013479319485751066,0.19867992401123047
Neural Network,Random Sampling,0.8,1,5247,0.5402439024390244,0.1675137353116882,0.00013379617170854047,0.1940514174374667
Neural Network,Random Sampling,0.8,2,5247,0.5414634146341464,0.17863020714221317,0.0001468658447265625,0.193488056009466
Neural Network,Random Sampling,0.8,3,5247,0.5439024390243903,0.17565524014374814,0.0001322572881525213,0.20650254596363415
Neural Network,Random Sampling,0.8,4,5247,0.5378048780487805,0.1729803983345204,0.0001419024033979936,0.19956205107948996
