classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Neural Network,0.2,Entropy Sampling,0.17379997844639225,0.009916970025063506,0.17259733791844872,0.018577692232247627,-0.001202640527943527,-0.6919681686350011,7.0,0.59375,0.04,vernachlässigbar,5,1.0,False
Neural Network,0.2,Margin Sampling,0.17379997844639225,0.009916970025063506,0.1788991382977759,0.010834650045204614,0.00509915985138365,2.933924328970191,11.0,0.21875,0.12,vernachlässigbar,5,1.0,False
Neural Network,0.2,Least Confidence,0.17379997844639225,0.009916970025063506,0.1817298822804808,0.010099233018304623,0.007929903834088536,4.562660999716106,11.0,0.21875,0.44,mittel,5,1.0,False
Neural Network,0.4,Entropy Sampling,0.17546026223406014,0.005505952825597078,0.17906190725126298,0.008864673638518408,0.003601645017202837,2.05268416412049,10.0,0.3125,0.2,klein,5,1.0,False
Neural Network,0.4,Margin Sampling,0.17546026223406014,0.005505952825597078,0.1961422451588896,0.013408983560474484,0.02068198292482945,11.787274600809692,14.0,0.0625,0.76,groß,5,1.0,False
Neural Network,0.4,Least Confidence,0.17546026223406014,0.005505952825597078,0.18178502665128157,0.013494481882103209,0.0063247644172214346,3.60467055998374,10.0,0.3125,0.44,mittel,5,1.0,False
Neural Network,0.6,Entropy Sampling,0.17423183715646112,0.006757898297860723,0.18220337831892602,0.0080961135179591,0.007971541162464901,4.575249444971653,12.0,0.15625,0.44,mittel,5,1.0,False
Neural Network,0.6,Margin Sampling,0.17423183715646112,0.006757898297860723,0.19172630982039435,0.0025899424770881667,0.017494472663933225,10.040916143369994,15.0,0.03125,1.0,groß,5,1.0,False
Neural Network,0.6,Least Confidence,0.17423183715646112,0.006757898297860723,0.18947852848894156,0.006102992239229722,0.015246691332480439,8.750806730453533,14.0,0.0625,0.92,groß,5,1.0,False
Neural Network,0.8,Entropy Sampling,0.17409232274485134,0.0037437006329015614,0.1972727860472463,0.0020261755949161765,0.023180463302394955,13.315040512365442,15.0,0.03125,1.0,groß,5,1.0,False
Neural Network,0.8,Margin Sampling,0.17409232274485134,0.0037437006329015614,0.1899016111189849,0.0033655345976944776,0.015809288374133562,9.080979634755955,15.0,0.03125,1.0,groß,5,1.0,False
Neural Network,0.8,Least Confidence,0.17409232274485134,0.0037437006329015614,0.19189617842299328,0.0057473762746728255,0.01780385567814194,10.226674788086527,15.0,0.03125,1.0,groß,5,1.0,False
Neural Network,1.0,Entropy Sampling,0.17608994019972807,0.011770988224534793,0.18075497419427072,0.011346847727901349,0.0046650339945426555,2.649233675274915,14.0,0.0625,0.36,mittel,5,1.0,False
Neural Network,1.0,Margin Sampling,0.17608994019972807,0.011770988224534793,0.17544582239903034,0.011688003319923241,-0.00064411780069773,-0.365789096167076,7.0,0.59375,-0.04,vernachlässigbar,5,1.0,False
Neural Network,1.0,Least Confidence,0.17608994019972807,0.011770988224534793,0.18553182070683022,0.010411065878060788,0.009441880507102152,5.361964741650092,10.0,0.3125,0.36,mittel,5,1.0,False
Naive Bayes,0.2,Entropy Sampling,0.05772357704900309,0.005230565615262158,0.07357509675794827,0.022672436586234156,0.015851519708945175,27.461083528292775,14.0,0.0625,0.52,groß,5,1.0,False
Naive Bayes,0.2,Margin Sampling,0.05772357704900309,0.005230565615262158,0.07388458429312815,0.01912664128397812,0.01616100724412506,27.997237992381425,14.0,0.0625,0.44,mittel,5,1.0,False
Naive Bayes,0.2,Least Confidence,0.05772357704900309,0.005230565615262158,0.07150027033733668,0.018372680992882248,0.013776693288333586,23.866665914758162,14.0,0.0625,0.44,mittel,5,1.0,False
Naive Bayes,0.4,Entropy Sampling,0.03435891026873803,0.005383558422509779,0.04912006356602329,0.019352797263037513,0.014761153297285258,42.96164570363547,12.0,0.15625,0.52,groß,5,1.0,False
Naive Bayes,0.4,Margin Sampling,0.03435891026873803,0.005383558422509779,0.05815418074206445,0.009461547764888986,0.02379527047332642,69.2550208583795,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,0.4,Least Confidence,0.03435891026873803,0.005383558422509779,0.05276939036976026,0.008928239915647939,0.018410480101022232,53.5828405412883,14.0,0.0625,0.92,groß,5,1.0,False
