strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.8099,0.809218190596587,0.022568163664444633,0.43041410653487494,cuml
Random Sampling,0.2,1,12000,0.7997,0.799171662809856,0.023591850114905315,0.43407076338063116,cuml
Random Sampling,0.2,2,12000,0.807,0.8064566286773527,0.02330303192138672,0.43792433324067487,cuml
Random Sampling,0.2,3,12000,0.801,0.8003846402779159,0.0232761113539986,0.44238389056661853,cuml
Random Sampling,0.2,4,12000,0.804,0.8040890676823208,0.023346807645714802,0.4485028204710587,cuml
Random Sampling,0.4,0,24000,0.8204,0.819411177294889,0.021268408349219788,0.6667241745806755,cuml
Random Sampling,0.4,1,24000,0.8232,0.8223517048557877,0.021594296110437273,0.6636436239201972,cuml
Random Sampling,0.4,2,24000,0.8189,0.8180781710756676,0.021715138820891686,0.6668854571403341,cuml
Random Sampling,0.4,3,24000,0.8183,0.8170565915462726,0.02166481220975835,0.6668705382245652,cuml
Random Sampling,0.4,4,24000,0.8167,0.8155255029132471,0.022022419787467794,0.669492280229609,cuml
Random Sampling,0.6,0,36000,0.8302,0.8293648471002981,0.01974733782486177,0.9064508626158808,cuml
Random Sampling,0.6,1,36000,0.8291,0.8281998967726858,0.019721014398924062,0.9057705133733615,cuml
Random Sampling,0.6,2,36000,0.8223,0.821174089082367,0.01923100041671538,0.9067833826575481,cuml
Random Sampling,0.6,3,36000,0.8262,0.8250708802009734,0.019172315866174832,0.9068165597781329,cuml
Random Sampling,0.6,4,36000,0.8246,0.8234643766957795,0.01900569821747256,0.9102787199154706,cuml
Random Sampling,0.8,0,48000,0.832,0.8310599962311447,0.016311575237073397,1.1535056189486854,cuml
Random Sampling,0.8,1,48000,0.8335,0.8323687431299766,0.016187042939035515,1.153761931469566,cuml
Random Sampling,0.8,2,48000,0.831,0.8300266984069079,0.016224898790058336,1.1550468570307681,cuml
Random Sampling,0.8,3,48000,0.8335,0.8324677947616175,0.016149518364354184,1.1577329334459807,cuml
Random Sampling,0.8,4,48000,0.8307,0.829392875377701,0.01616168273122687,1.158681829352128,cuml
Random Sampling,1.0,0,60000,0.835,0.8339335780730313,0.013353211539132255,1.4001802296197714,cuml
Random Sampling,1.0,1,60000,0.8345,0.8334440341961331,0.013540289983028123,1.3995104076481666,cuml
Random Sampling,1.0,2,60000,0.8354,0.8343474615086446,0.014361726135766808,1.3979712674597733,cuml
Random Sampling,1.0,3,60000,0.8343,0.8332960044451635,0.012825252629127823,1.393453347582777,cuml
Random Sampling,1.0,4,60000,0.8353,0.8342046918174904,0.012885384198998203,1.3949372568050353,cuml
Entropy Sampling,0.2,0,12000,0.823,0.8220298027070841,0.2092239753059719,0.44753083975418756,cuml
Entropy Sampling,0.2,1,12000,0.8243,0.8228636671698947,0.20737747524095618,0.4435975344284721,cuml
Entropy Sampling,0.2,2,12000,0.8221,0.8202863635595605,0.20482080915699835,0.44640809556712274,cuml
Entropy Sampling,0.2,3,12000,0.8228,0.8213052279949601,0.20328352762305218,0.4455629535343336,cuml
Entropy Sampling,0.2,4,12000,0.8227,0.8211921677346622,0.20668129298997961,0.44897907713185187,cuml
Entropy Sampling,0.4,0,24000,0.8319,0.8306117520966186,0.17878835251990785,0.6692689885484412,cuml
Entropy Sampling,0.4,1,24000,0.8368,0.8354789511157049,0.1819564788899523,0.6681613161208781,cuml
Entropy Sampling,0.4,2,24000,0.8339,0.8327424157412588,0.17917685305818598,0.670345220159977,cuml
Entropy Sampling,0.4,3,24000,0.8355,0.8340550840461377,0.1797707385205208,0.6725804247754685,cuml
Entropy Sampling,0.4,4,24000,0.8347,0.8336583328330371,0.17980858620176923,0.6738932690721877,cuml
Entropy Sampling,0.6,0,36000,0.8335,0.83215331081788,0.14916732613469513,0.9023937238773829,cuml
Entropy Sampling,0.6,1,36000,0.8343,0.8330362789574544,0.1513366934279321,0.9032763058031109,cuml
Entropy Sampling,0.6,2,36000,0.8339,0.8327384610842623,0.15184094536472376,0.9035969485699291,cuml
Entropy Sampling,0.6,3,36000,0.8334,0.8321895307747408,0.15169784720514862,0.9026086666214634,cuml
Entropy Sampling,0.6,4,36000,0.8336,0.8322318894744253,0.1528856485662326,0.9059282826705718,cuml
Entropy Sampling,0.8,0,48000,0.8351,0.8339159032116769,0.13063268410532097,1.142473752875077,cuml
Entropy Sampling,0.8,1,48000,0.8344,0.833285687843204,0.13049566620274594,1.1444091721584921,cuml
Entropy Sampling,0.8,2,48000,0.8351,0.8341495124135779,0.13021906300594932,1.14479122914766,cuml
Entropy Sampling,0.8,3,48000,0.8356,0.8344830857681554,0.1308977578815661,1.143618096803364,cuml
Entropy Sampling,0.8,4,48000,0.8345,0.8334487430214299,0.13103762174907482,1.1485210418701173,cuml
Entropy Sampling,1.0,0,60000,0.8346,0.8335463647454502,0.1087726885531129,1.3869084410306787,cuml
Entropy Sampling,1.0,1,60000,0.8358,0.8348252270699954,0.10857623164393321,1.3884354238750554,cuml
Entropy Sampling,1.0,2,60000,0.8352,0.8341090694357854,0.10913129814532625,1.3912440067579765,cuml
Entropy Sampling,1.0,3,60000,0.8352,0.8342017068783768,0.10839690681265182,1.3886085337951404,cuml
Entropy Sampling,1.0,4,60000,0.8352,0.8342007494536257,0.10891208127767098,1.391419935627144,cuml
Margin Sampling,0.2,0,12000,0.8237,0.8222592905653128,0.21615124785381815,0.4495063242704972,cuml
Margin Sampling,0.2,1,12000,0.8253,0.8241453927571021,0.20748244161191193,0.4463778060415517,cuml
Margin Sampling,0.2,2,12000,0.8271,0.8259469444390979,0.20583594363668692,0.4500420093536377,cuml
Margin Sampling,0.2,3,12000,0.8297,0.8278867331610111,0.2068080176477847,0.4498208294744077,cuml
Margin Sampling,0.2,4,12000,0.8254,0.8240603920571499,0.20396182848059613,0.45113951226939325,cuml
Margin Sampling,0.4,0,24000,0.8342,0.8329540200463841,0.18105857930284866,0.6700704199202517,cuml
Margin Sampling,0.4,1,24000,0.8333,0.8318866470165724,0.17697414946048817,0.6679586654013776,cuml
Margin Sampling,0.4,2,24000,0.834,0.8326263033134376,0.17704855634811076,0.6706879138946533,cuml
Margin Sampling,0.4,3,24000,0.8332,0.8318773549580778,0.17714288386892765,0.6708468934322925,cuml
Margin Sampling,0.4,4,24000,0.8341,0.8328217861354664,0.17677582578456147,0.6704046726226807,cuml
Margin Sampling,0.6,0,36000,0.8336,0.8322699910102255,0.1487425213128748,0.9003627165942125,cuml
Margin Sampling,0.6,1,36000,0.8335,0.832366711574845,0.14842001485152984,0.9020631682704872,cuml
Margin Sampling,0.6,2,36000,0.835,0.8338799269576931,0.14941224917559556,0.9053144320635729,cuml
Margin Sampling,0.6,3,36000,0.8332,0.8319356240901786,0.14870563023526903,0.9030936234433886,cuml
