strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,85,0.709665,600.0,0.0,99.0,0.0,0.8349
Entropy Sampling,85,0.709665,600.0,0.0,99.0,0.0,0.8349
Margin Sampling,85,0.709665,600.0,0.0,99.0,0.0,0.8349
Least Confidence,85,0.709665,600.0,0.0,99.0,0.0,0.8349
Random Sampling,90,0.75141,600.0,0.0,99.0,0.0,0.8349
Entropy Sampling,90,0.75141,600.0,0.0,99.0,0.0,0.8349
Margin Sampling,90,0.75141,600.0,0.0,99.0,0.0,0.8349
Least Confidence,90,0.75141,600.0,0.0,99.0,0.0,0.8349
Random Sampling,95,0.7931549999999999,2380.0,949.5261976375375,96.03333333333333,0.0,0.8349
Entropy Sampling,95,0.7931549999999999,3060.0,870.8616422830896,94.89999999999999,-28.57142857142857,0.8349
Margin Sampling,95,0.7931549999999999,1500.0,316.22776601683796,97.5,36.97478991596639,0.8349
Least Confidence,95,0.7931549999999999,2460.0,300.66592756745814,95.89999999999999,-3.361344537815126,0.8349
