strategy,budget_pct,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Entropy Sampling,0.2,0.80432,0.0037626586345295724,0.82298,0.0007249827584156754,0.01866000000000001,2.3199721503879065,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.2,0.80432,0.0037626586345295724,0.82624,0.0020372530525194863,0.02191999999999994,2.725283469265956,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.2,0.80432,0.0037626586345295724,0.8253,0.0019667231630302985,0.02098,2.608414561368609,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.4,0.8195,0.0021972710347155826,0.83456,0.0016390240998838401,0.015059999999999962,1.8377059182428264,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.4,0.8195,0.0021972710347155826,0.8337600000000001,0.0004223742416388341,0.01426000000000005,1.7400854179377732,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.4,0.8195,0.0021972710347155826,0.8336599999999998,0.0006590902821313331,0.01415999999999984,1.7278828553996144,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.6,0.8264800000000001,0.002890951400490842,0.83374,0.000326190128606004,0.007259999999999933,0.8784241602942519,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.6,0.8264800000000001,0.002890951400490842,0.83384,0.0006216108107167752,0.007359999999999922,0.8905236666343918,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.6,0.8264800000000001,0.002890951400490842,0.8336200000000001,0.0005741080037762955,0.007140000000000035,0.8639047526860946,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.8,0.8321400000000001,0.0011909659944767709,0.8349399999999999,0.00044090815370095675,0.0027999999999998026,0.336481841997717,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.8,0.8321400000000001,0.0011909659944767709,0.83504,0.0003555277766926294,0.0028999999999999027,0.3484990506405055,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.8,0.8321400000000001,0.0011909659944767709,0.83538,0.0005635601121442024,0.0032399999999999096,0.38935756002594624,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,1.0,0.8349,0.0004335896677735743,0.8352,0.00037947331922019885,0.000300000000000078,0.035932446999650015,9.0,0.40625,0.28,small,5,1.0,False
Margin Sampling,1.0,0.8349,0.0004335896677735743,0.83538,0.00048332183894377837,0.00048000000000003595,0.05749191519942939,12.0,0.15625,0.6,large,5,1.0,False
Least Confidence,1.0,0.8349,0.0004335896677735743,0.8351599999999999,0.0005425863986500075,0.00025999999999992696,0.031141454066346504,10.0,0.3125,0.24,small,5,1.0,False
