strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.8094,0.8041012940122064,0.024851363638172978,0.18102437516917352,cuml
Random Sampling,0.2,1,12000,0.8152,0.811006074543475,0.025524201600447945,0.1814431729524032,cuml
Random Sampling,0.2,2,12000,0.814,0.8093164611481063,0.025232128475023353,0.1819254730058753,cuml
Random Sampling,0.2,3,12000,0.8135,0.809257235888366,0.02519516322923743,0.1828315258026123,cuml
Random Sampling,0.2,4,12000,0.8136,0.8093849966247177,0.025162520615950874,0.18294007881827976,cuml
Random Sampling,0.4,0,24000,0.8157,0.8110123180415041,0.02216109316399757,0.20914262406369474,cuml
Random Sampling,0.4,1,24000,0.8189,0.814537694109851,0.02212450352120907,0.2048394426386407,cuml
Random Sampling,0.4,2,24000,0.8188,0.8140025281793442,0.022069053446992913,0.20475943037804137,cuml
Random Sampling,0.4,3,24000,0.8176,0.8134513662306306,0.022085047782735623,0.2062342826356279,cuml
Random Sampling,0.4,4,24000,0.8189,0.8149823205314004,0.022115940743304315,0.20914592641465207,cuml
Random Sampling,0.6,0,36000,0.8174,0.8123107317757052,0.019634005049584617,0.2310145337816695,cuml
Random Sampling,0.6,1,36000,0.8169,0.8125932418767107,0.019652927425545707,0.23108736897858095,cuml
Random Sampling,0.6,2,36000,0.8202,0.8158473025089906,0.019456614910716742,0.2315503778591962,cuml
Random Sampling,0.6,3,36000,0.8176,0.8129145162075428,0.01965547951174454,0.2319230663944298,cuml
Random Sampling,0.6,4,36000,0.8191,0.8141148212895336,0.019544060801116512,0.23275367978592992,cuml
Random Sampling,0.8,0,48000,0.8207,0.8158797937311633,0.016858198768214174,0.2614994074168958,cuml
Random Sampling,0.8,1,48000,0.8183,0.8135239959019248,0.016907262802124023,0.258456960477327,cuml
Random Sampling,0.8,2,48000,0.8189,0.8142082047238348,0.016821956634521483,0.2607426542984812,cuml
Random Sampling,0.8,3,48000,0.8219,0.8178890822065469,0.016806645142404656,0.25808996401335066,cuml
Random Sampling,0.8,4,48000,0.8191,0.8146627112179603,0.016662085683722246,0.2591508087358977,cuml
Random Sampling,1.0,0,60000,0.8195,0.815240670897135,0.013761374128966773,0.2793926230999602,cuml
Random Sampling,1.0,1,60000,0.8202,0.815772149656879,0.013698117071840944,0.2787954667035271,cuml
Random Sampling,1.0,2,60000,0.8177,0.8130759134507312,0.013699890184803169,0.27923772315017314,cuml
Random Sampling,1.0,3,60000,0.8187,0.8141218935417912,0.01360379547632041,0.28143960688294484,cuml
Random Sampling,1.0,4,60000,0.8211,0.8168944396597924,0.013652206468982856,0.2857009482984783,cuml
Entropy Sampling,0.2,0,12000,0.8292,0.8286959129501732,0.1021239135576331,0.18932557106018066,cuml
Entropy Sampling,0.2,1,12000,0.8199,0.8188334886143774,0.1018672922383184,0.18820925380872644,cuml
Entropy Sampling,0.2,2,12000,0.8261,0.8246567898573346,0.10213912051656972,0.18969548266866934,cuml
Entropy Sampling,0.2,3,12000,0.8173,0.814597514201201,0.10315846360248068,0.1960638191389001,cuml
Entropy Sampling,0.2,4,12000,0.828,0.8266158180674712,0.10256405498670496,0.1892290219016697,cuml
Entropy Sampling,0.4,0,24000,0.8384,0.8366213139810238,0.08786801074413543,0.21463014217133217,cuml
Entropy Sampling,0.4,1,24000,0.8359,0.8344390387644983,0.08786786363479938,0.21305060386657715,cuml
Entropy Sampling,0.4,2,24000,0.8378,0.8360869298763811,0.08770232504986702,0.21443713979518159,cuml
Entropy Sampling,0.4,3,24000,0.8347,0.8334277673819219,0.0873709333703873,0.21203073034895228,cuml
Entropy Sampling,0.4,4,24000,0.8405,0.8385190681132684,0.08731225703624969,0.21205362360528174,cuml
Entropy Sampling,0.6,0,36000,0.836,0.8330019250268691,0.06822821455942073,0.23522837397078394,cuml
Entropy Sampling,0.6,1,36000,0.8333,0.8303242307618393,0.06853445147124815,0.23541154659969707,cuml
Entropy Sampling,0.6,2,36000,0.8322,0.8292190866647383,0.0684503434409558,0.23530910384487097,cuml
Entropy Sampling,0.6,3,36000,0.8321,0.8287973452769618,0.06829862863245145,0.2375089853582248,cuml
Entropy Sampling,0.6,4,36000,0.8344,0.8316376583579232,0.06829304762289558,0.2355691950086137,cuml
Entropy Sampling,0.8,0,48000,0.8237,0.8196659606064394,0.058977124565526055,0.2624164430718673,cuml
Entropy Sampling,0.8,1,48000,0.8261,0.8225696144987256,0.05852201361405222,0.26190868929812783,cuml
Entropy Sampling,0.8,2,48000,0.8245,0.8206423138701903,0.058649005387958725,0.26119599091379264,cuml
Entropy Sampling,0.8,3,48000,0.825,0.8215371685729795,0.05862653631913035,0.2595952636317203,cuml
Entropy Sampling,0.8,4,48000,0.8254,0.8217321867264049,0.058317041397094725,0.2583649108284398,cuml
Entropy Sampling,1.0,0,60000,0.8195,0.8151742827070383,0.048970332666605464,0.28291876977231323,cuml
Entropy Sampling,1.0,1,60000,0.8196,0.8149415722818493,0.04868233704767307,0.28226797921316965,cuml
Entropy Sampling,1.0,2,60000,0.8209,0.8166366670920612,0.04947282286251292,0.28241089412144255,cuml
Entropy Sampling,1.0,3,60000,0.8206,0.8162238652596109,0.04874116432766955,0.2824495559980889,cuml
Entropy Sampling,1.0,4,60000,0.8182,0.8131366554211178,0.04882786053569377,0.2850546536325407,cuml
Margin Sampling,0.2,0,12000,0.8637,0.8632370792651745,0.10372129730556322,0.18927161589912747,cuml
Margin Sampling,0.2,1,12000,0.8572,0.8570128861735379,0.10359353604524033,0.18717682879904043,cuml
Margin Sampling,0.2,2,12000,0.8603,0.8602305540425752,0.10323343069657036,0.18820407079613727,cuml
Margin Sampling,0.2,3,12000,0.8579,0.8577186027752468,0.10345697402954102,0.18776329703952954,cuml
Margin Sampling,0.2,4,12000,0.8582,0.85806355734546,0.10297114952750828,0.19063137925189474,cuml
Margin Sampling,0.4,0,24000,0.8477,0.846273755667584,0.08896320931454922,0.21764808005474984,cuml
Margin Sampling,0.4,1,24000,0.8489,0.847488130464912,0.08806865266028871,0.2172561097652354,cuml
Margin Sampling,0.4,2,24000,0.8475,0.8460601472634739,0.08795572849030191,0.21328472583851915,cuml
Margin Sampling,0.4,3,24000,0.8494,0.8477785869224725,0.08888616460434934,0.21503813216026793,cuml
Margin Sampling,0.4,4,24000,0.8521,0.8506582106978515,0.08794069797434706,0.21258655000240245,cuml
Margin Sampling,0.6,0,36000,0.8351,0.8317483958205217,0.0691850890576,0.23781900674524442,cuml
