strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.7374959999999999,600.0,0.0,99.0,0.0,0.81944
Entropy Sampling,90,0.7374959999999999,600.0,0.0,99.0,0.0,0.81944
Margin Sampling,90,0.7374959999999999,600.0,0.0,99.0,0.0,0.81944
Least Confidence,90,0.7374959999999999,600.0,0.0,99.0,0.0,0.81944
Random Sampling,95,0.7784679999999999,1200.0,200.0,98.0,0.0,0.81944
Entropy Sampling,95,0.7784679999999999,1300.0,244.94897427831782,97.83333333333334,-8.333333333333332,0.81944
Margin Sampling,95,0.7784679999999999,1100.0,0.0,98.16666666666667,8.333333333333332,0.81944
Least Confidence,95,0.7784679999999999,1200.0,200.0,98.0,0.0,0.81944
Random Sampling,98,0.8030512,3300.0,509.9019513592785,94.5,0.0,0.81944
Entropy Sampling,98,0.8030512,5900.0,1208.3045973594571,90.16666666666666,-78.78787878787878,0.81944
Margin Sampling,98,0.8030512,1400.0,244.94897427831782,97.66666666666667,57.57575757575758,0.81944
Least Confidence,98,0.8030512,3300.0,678.2329983125268,94.5,0.0,0.81944
