strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Random Sampling,0.2,0,12000,0.8962,0.8951913520794438,0.023172803547071373,1.5210850757101309
Random Sampling,0.2,1,12000,0.8978,0.8968922583885585,0.022918037746263588,1.5027759075164795
Random Sampling,0.2,2,12000,0.8955,0.8947607188985398,0.022893003795457924,1.5017817227736763
Random Sampling,0.2,3,12000,0.8978,0.8968969092454341,0.022963015929512356,1.502621080564416
Random Sampling,0.2,4,12000,0.9031,0.9024447769859624,0.022869939389436142,1.5027063307554827
Random Sampling,0.4,0,24000,0.9178,0.9171778945401161,0.02004120704975534,2.977259209815492
Random Sampling,0.4,1,24000,0.9135,0.9130791918917872,0.0199833981534268,2.9831165049938444
Random Sampling,0.4,2,24000,0.9133,0.912610606907475,0.020132790220544695,2.997533179344015
Random Sampling,0.4,3,24000,0.9138,0.9135470991396369,0.020123532477845537,3.0129975968218865
Random Sampling,0.4,4,24000,0.9138,0.9131253396439135,0.02013280543875187,3.0209668950831636
Random Sampling,0.6,0,36000,0.9187,0.918127834789194,0.017872578661206742,4.536183699755601
Random Sampling,0.6,1,36000,0.9187,0.9182883863534022,0.01794634738438566,4.544467459262257
Random Sampling,0.6,2,36000,0.9205,0.9200466319710179,0.01774897038097113,4.5506113347872885
Random Sampling,0.6,3,36000,0.9239,0.9235387088585846,0.017878962234711984,4.553623044994516
Random Sampling,0.6,4,36000,0.9222,0.9217976004133603,0.01778319520010075,4.556777530992535
Random Sampling,0.8,0,48000,0.9226,0.9220849513830196,0.015411115947522615,6.068494465476588
Random Sampling,0.8,1,48000,0.9263,0.9260184550287118,0.015388867729588558,6.0710162990971615
Random Sampling,0.8,2,48000,0.9252,0.9247327280780852,0.015370256022403115,6.071812213094611
Random Sampling,0.8,3,48000,0.9265,0.9261684349648418,0.015369864513999538,6.073508912638614
Random Sampling,0.8,4,48000,0.9263,0.9259385166567025,0.015330046101620323,6.076823483015362
Random Sampling,1.0,0,60000,0.9291,0.9288144718505713,0.012684743945338145,7.5928662544539
Random Sampling,1.0,1,60000,0.9281,0.9276294265098729,0.012912235340150464,7.595250642600179
Random Sampling,1.0,2,60000,0.9306,0.9301078312474512,0.012779764768456211,7.5963663934659555
