strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.8364060000000001,6100.0,0.0,89.83333333333333,0.0,0.92934
Entropy Sampling,90,0.8364060000000001,7900.0,244.94897427831782,86.83333333333333,-29.508196721311474,0.92934
Margin Sampling,90,0.8364060000000001,4300.0,244.94897427831782,92.83333333333333,29.508196721311474,0.92934
Least Confidence,90,0.8364060000000001,6200.0,200.0,89.66666666666666,-1.639344262295082,0.92934
Random Sampling,95,0.882873,20224.0,17371.13191476019,66.29333333333334,0.0,0.92934
Entropy Sampling,95,0.882873,10600.0,447.21359549995793,82.33333333333334,47.587025316455694,0.92934
Margin Sampling,95,0.882873,7600.0,0.0,87.33333333333333,62.42088607594937,0.92934
Least Confidence,95,0.882873,9500.0,734.8469228349534,84.16666666666667,53.02610759493671,0.92934
Random Sampling,98,0.9107532,43680.0,13353.561322733349,27.200000000000003,0.0,0.92934
Entropy Sampling,98,0.9107532,28240.0,15896.615992090896,52.93333333333333,35.34798534798535,0.92934
Margin Sampling,98,0.9107532,26880.0,16593.781967954143,55.2,38.46153846153847,0.92934
Least Confidence,98,0.9107532,26160.0,16942.20764835563,56.39999999999999,40.10989010989011,0.92934
