strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.1,0.01818181818181818,0.023056745529174805,0.04490424239117166,cuml
Random Sampling,0.2,1,12000,0.1,0.01818181818181818,0.023558533709982166,0.04542791325113048,cuml
Random Sampling,0.2,2,12000,0.1,0.01818181818181818,0.023091191830842392,0.0455723119818646,cuml
Random Sampling,0.2,3,12000,0.1,0.01818181818181818,0.02248438544895338,0.04447915243065875,cuml
Random Sampling,0.2,4,12000,0.1,0.01818181818181818,0.02242246918056322,0.044497075288192085,cuml
Random Sampling,0.4,0,24000,0.1,0.01818181818181818,0.019142445097578332,0.08592989089641165,cuml
Random Sampling,0.4,1,24000,0.1,0.01818181818181818,0.019087603751649248,0.08793875511656417,cuml
Random Sampling,0.4,2,24000,0.1,0.01818181818181818,0.01951109602096233,0.08824696946651378,cuml
Random Sampling,0.4,3,24000,0.1,0.01818181818181818,0.019496547414901408,0.08651797822181215,cuml
Random Sampling,0.4,4,24000,0.1,0.01818181818181818,0.01902574173947598,0.08937840258821528,cuml
Random Sampling,0.6,0,36000,0.1,0.01818181818181818,0.015507694701073875,0.1286250436809701,cuml
Random Sampling,0.6,1,36000,0.1,0.01818181818181818,0.015622142335058938,0.12846575656407316,cuml
Random Sampling,0.6,2,36000,0.1,0.01818181818181818,0.01554114046231122,0.1280664927522901,cuml
Random Sampling,0.6,3,36000,0.1,0.01818181818181818,0.015637250013754402,0.1267504289116658,cuml
Random Sampling,0.6,4,36000,0.1,0.01818181818181818,0.015567071001294633,0.12976679667620591,cuml
Random Sampling,0.8,0,48000,0.1,0.01818181818181818,0.012995837864122893,0.17256952335959988,cuml
Random Sampling,0.8,1,48000,0.1,0.01818181818181818,0.013055831507632606,0.17220906458402935,cuml
Random Sampling,0.8,2,48000,0.1,0.01818181818181818,0.013037054162276419,0.17345800650747198,cuml
Random Sampling,0.8,3,48000,0.1,0.01818181818181818,0.013078807529650236,0.17168181068018862,cuml
Random Sampling,0.8,4,48000,0.1,0.01818181818181818,0.013149926536961606,0.17276723008406789,cuml
Random Sampling,1.0,0,60000,0.1,0.01818181818181818,0.010854352422121192,0.21553514384421982,cuml
Random Sampling,1.0,1,60000,0.1,0.01818181818181818,0.010873047243647216,0.21641402685341715,cuml
Random Sampling,1.0,2,60000,0.1,0.01818181818181818,0.010771374742523963,0.21323031136969559,cuml
Random Sampling,1.0,3,60000,0.1,0.01818181818181818,0.010755338588682543,0.21327435469427028,cuml
Random Sampling,1.0,4,60000,0.1,0.01818181818181818,0.010849417758589032,0.21551927398232854,cuml
Entropy Sampling,0.2,0,12000,0.1,0.01818181818181818,0.3201531016308328,0.0446307140847911,cuml
Entropy Sampling,0.2,1,12000,0.1,0.01818181818181818,0.316445371379023,0.044069798096366554,cuml
Entropy Sampling,0.2,2,12000,0.1,0.01818181818181818,0.31379689341006073,0.04417115709056025,cuml
Entropy Sampling,0.2,3,12000,0.1,0.01818181818181818,0.31535741557245667,0.044869796089504074,cuml
Entropy Sampling,0.2,4,12000,0.1,0.01818181818181818,0.32013128114783246,0.04491849567579186,cuml
Entropy Sampling,0.4,0,24000,0.1,0.01818181818181818,0.28644203125162326,0.08853427907253833,cuml
Entropy Sampling,0.4,1,24000,0.1,0.01818181818181818,0.28391062959711605,0.08829909689882968,cuml
