strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,80,0.08000000000000002,600.0,0.0,99.0,0.0,0.1
Entropy Sampling,80,0.08000000000000002,600.0,0.0,99.0,0.0,0.1
Margin Sampling,80,0.08000000000000002,600.0,0.0,99.0,0.0,0.1
Least Confidence,80,0.08000000000000002,600.0,0.0,99.0,0.0,0.1
Random Sampling,85,0.085,600.0,0.0,99.0,0.0,0.1
Entropy Sampling,85,0.085,600.0,0.0,99.0,0.0,0.1
Margin Sampling,85,0.085,600.0,0.0,99.0,0.0,0.1
Least Confidence,85,0.085,600.0,0.0,99.0,0.0,0.1
Random Sampling,90,0.09000000000000001,600.0,0.0,99.0,0.0,0.1
Entropy Sampling,90,0.09000000000000001,600.0,0.0,99.0,0.0,0.1
Margin Sampling,90,0.09000000000000001,600.0,0.0,99.0,0.0,0.1
Least Confidence,90,0.09000000000000001,600.0,0.0,99.0,0.0,0.1
