strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.7952039999999999,1600.0,0.0,97.33333333333334,0.0,0.8835599999999999
Entropy Sampling,90,0.7952039999999999,3100.0,447.21359549995793,94.83333333333334,-93.75,0.8835599999999999
Margin Sampling,90,0.7952039999999999,1700.0,200.0,97.16666666666667,-6.25,0.8835599999999999
Least Confidence,90,0.7952039999999999,1600.0,0.0,97.33333333333334,0.0,0.8835599999999999
Random Sampling,95,0.8393819999999999,5800.0,400.0,90.33333333333333,0.0,0.8835599999999999
Entropy Sampling,95,0.8393819999999999,5900.0,509.9019513592785,90.16666666666666,-1.7241379310344827,0.8835599999999999
Margin Sampling,95,0.8393819999999999,3400.0,244.94897427831782,94.33333333333334,41.37931034482759,0.8835599999999999
Least Confidence,95,0.8393819999999999,3700.0,374.16573867739413,93.83333333333333,36.206896551724135,0.8835599999999999
Random Sampling,98,0.8658887999999999,27600.0,16205.924842476594,54.0,0.0,0.8835599999999999
Entropy Sampling,98,0.8658887999999999,10500.0,734.8469228349534,82.5,61.95652173913043,0.8835599999999999
Margin Sampling,98,0.8658887999999999,7400.0,600.0,87.66666666666667,73.18840579710145,0.8835599999999999
Least Confidence,98,0.8658887999999999,7400.0,509.9019513592785,87.66666666666667,73.18840579710145,0.8835599999999999
