strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.8578,0.8560436352219984,0.022359257159025772,5.590307370476101,cuml
Random Sampling,0.2,1,12000,0.8565,0.854770320058873,0.022038314653479534,5.631493205609529,cuml
Random Sampling,0.2,2,12000,0.8572,0.8562480189699075,0.022229287935339886,5.637021417203157,cuml
Random Sampling,0.2,3,12000,0.8566,0.855173513887203,0.022208887597788936,5.714793775392615,cuml
Random Sampling,0.2,4,12000,0.8581,0.8567038839503625,0.02176245399143385,5.692046165466309,cuml
Random Sampling,0.4,0,24000,0.8688,0.8676723115443729,0.018049300985133396,6.680006372167709,cuml
Random Sampling,0.4,1,24000,0.8691,0.8679945940342915,0.018276011690180352,6.6785842662161965,cuml
Random Sampling,0.4,2,24000,0.869,0.8680074133116618,0.01765938515358783,6.655204052620745,cuml
Random Sampling,0.4,3,24000,0.8686,0.8678858657560713,0.018131154648801114,6.704958682364606,cuml
Random Sampling,0.4,4,24000,0.8708,0.8695553961523554,0.018153505122407952,6.669765878230967,cuml
Random Sampling,0.6,0,36000,0.8783,0.8775043156286492,0.014888518293138961,7.703251606981519,cuml
Random Sampling,0.6,1,36000,0.876,0.875378339989753,0.015283312596065897,7.709751031768154,cuml
Random Sampling,0.6,2,36000,0.8757,0.8750060482715968,0.014712048248505928,7.695497489311326,cuml
Random Sampling,0.6,3,36000,0.876,0.8754012523330468,0.014377328711496273,7.716707776969587,cuml
Random Sampling,0.6,4,36000,0.8762,0.8752430654166432,0.014576807828016684,7.718714834938587,cuml
Random Sampling,0.8,0,48000,0.8802,0.879471345456237,0.012422215311150802,8.827618975388376,cuml
Random Sampling,0.8,1,48000,0.881,0.8803325412104938,0.012727908084267063,8.825608958696064,cuml
Random Sampling,0.8,2,48000,0.8809,0.8802327903188546,0.012305262214259097,8.8097049612748,cuml
Random Sampling,0.8,3,48000,0.8826,0.8819418258503665,0.012735886322824578,8.846616551750584,cuml
Random Sampling,0.8,4,48000,0.8801,0.879384146256017,0.010159622995476974,8.81931999357123,cuml
Random Sampling,1.0,0,60000,0.8836,0.8828936350049847,0.008496885540104714,12.174976545221666,cuml
Random Sampling,1.0,1,60000,0.8841,0.883327044571843,0.00851418190643567,12.074501099706698,cuml
Random Sampling,1.0,2,60000,0.884,0.8833109373958724,0.008513240253224093,12.105311113245348,cuml
Random Sampling,1.0,3,60000,0.8835,0.8828709708804385,0.008491716465028394,12.073460246334557,cuml
Random Sampling,1.0,4,60000,0.8826,0.881971817758393,0.008510725838797433,12.164416022661353,cuml
Entropy Sampling,0.2,0,12000,0.8725,0.8724635271263954,14.622852128484976,5.791202026864757,cuml
Entropy Sampling,0.2,1,12000,0.8708,0.8708052221790428,14.639346993487814,5.759870301122251,cuml
Entropy Sampling,0.2,2,12000,0.8693,0.8692600591048631,14.675914463789567,5.784416053606116,cuml
Entropy Sampling,0.2,3,12000,0.8711,0.8711095353041948,14.679799629294354,5.78705418628195,cuml
