strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.895806,3500.0,200.0,94.16666666666667,0.0,0.99534
Entropy Sampling,90,0.895806,3800.0,244.94897427831782,93.66666666666667,-8.571428571428571,0.99534
Margin Sampling,90,0.895806,2800.0,244.94897427831782,95.33333333333334,20.0,0.99534
Least Confidence,90,0.895806,3800.0,244.94897427831782,93.66666666666667,-8.571428571428571,0.99534
Random Sampling,95,0.945573,4000.0,200.0,93.33333333333333,0.0,0.99534
Entropy Sampling,95,0.945573,4300.0,244.94897427831782,92.83333333333333,-7.5,0.99534
Margin Sampling,95,0.945573,3600.0,316.22776601683796,94.0,10.0,0.99534
Least Confidence,95,0.945573,4100.0,0.0,93.16666666666666,-2.5,0.99534
Random Sampling,98,0.9754332,7000.0,374.16573867739413,88.33333333333333,0.0,0.99534
Entropy Sampling,98,0.9754332,5300.0,244.94897427831782,91.16666666666666,24.285714285714285,0.99534
Margin Sampling,98,0.9754332,4600.0,0.0,92.33333333333333,34.285714285714285,0.99534
Least Confidence,98,0.9754332,5100.0,316.22776601683796,91.5,27.142857142857142,0.99534
