strategy,budget_pct,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Entropy Sampling,0.2,0.9899000000000001,0.0004427188724235896,0.99436,0.0005314132102234477,0.0044599999999999085,0.4505505606626839,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.2,0.9899000000000001,0.0004427188724235896,0.99428,0.0004069397989875226,0.0043799999999999395,0.4424689362561813,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.2,0.9899000000000001,0.0004427188724235896,0.9942,0.00039496835316263704,0.0042999999999998595,0.4343873118496676,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.4,0.9935799999999999,0.0005946427498927217,0.9951399999999999,0.0002059126028197173,0.0015600000000000058,0.1570079913041734,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.4,0.9935799999999999,0.0005946427498927217,0.9952399999999999,0.00046303347611160696,0.0016599999999999948,0.16707260613136285,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.4,0.9935799999999999,0.0005946427498927217,0.9952799999999999,0.0003249615361854463,0.0017000000000000348,0.1710984520622431,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.6,0.99422,0.00039698866482557846,0.99488,0.000519230199429898,0.0006599999999999939,0.06638369777312807,14.0,0.0625,0.64,large,5,0.9375,False
Margin Sampling,0.6,0.99422,0.00039698866482557846,0.99504,0.00048414873747641907,0.0008200000000000429,0.0824767154151036,14.0,0.0625,0.76,large,5,0.9375,False
Least Confidence,0.6,0.99422,0.00039698866482557846,0.99494,0.0003498571136906795,0.0007200000000000539,0.07241857938887308,15.0,0.03125,0.76,large,5,0.46875,False
Entropy Sampling,0.8,0.9951399999999999,0.00016248076809270132,0.9955,0.00028284271247463495,0.000360000000000138,0.036175814458281046,12.5,0.125,0.76,large,5,1.0,False
Margin Sampling,0.8,0.9951399999999999,0.00016248076809270132,0.99558,0.0007277362159464142,0.00044000000000010697,0.04421488433789286,10.5,0.25,0.6,large,5,1.0,False
Least Confidence,0.8,0.9951399999999999,0.00016248076809270132,0.9956000000000002,0.00017888543820000075,0.000460000000000238,0.04622465180780976,15.0,0.03125,0.92,large,5,0.46875,False
Entropy Sampling,1.0,0.99534,0.00036660605559646684,0.9955399999999999,0.00034985711369073155,0.00019999999999986695,0.020093636345356054,11.5,0.1875,0.28,small,5,1.0,False
Margin Sampling,1.0,0.99534,0.00036660605559646684,0.99534,0.0001959591794226621,0.0,0.0,9.5,0.375,0.16,small,5,1.0,False
Least Confidence,1.0,0.99534,0.00036660605559646684,0.9955599999999999,0.0003199999999999967,0.00021999999999988695,0.022102999979895007,11.0,0.21875,0.52,large,5,1.0,False
