strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.8889,0.8873842282651923,0.022863512453825577,0.18595021703968878,cuml
Random Sampling,0.2,1,12000,0.8934,0.8918134914811489,0.02274347388226053,0.18517710851586383,cuml
Random Sampling,0.2,2,12000,0.8897,0.8879967284901273,0.023070636002913765,0.19380249147829803,cuml
Random Sampling,0.2,3,12000,0.8884,0.886792017915511,0.022806260896765667,0.1788493654002314,cuml
Random Sampling,0.2,4,12000,0.8879,0.8864164144743677,0.023224789163340694,0.1755358239878779,cuml
Random Sampling,0.4,0,24000,0.9033,0.9019668423364127,0.020851013508248837,0.3395652365177236,cuml
Random Sampling,0.4,1,24000,0.9059,0.9046125401951782,0.020886086403055393,0.34904470849544444,cuml
Random Sampling,0.4,2,24000,0.9055,0.9040194561230142,0.02190179520464958,0.3588415308201567,cuml
Random Sampling,0.4,3,24000,0.9014,0.8999678273954081,0.02174586945391716,0.3312990817617863,cuml
Random Sampling,0.4,4,24000,0.9033,0.9019532624984418,0.021328119521445418,0.3175904801551332,cuml
Random Sampling,0.6,0,36000,0.9127,0.9114692217690464,0.018494119106883734,0.4729700525042037,cuml
Random Sampling,0.6,1,36000,0.9138,0.9126656066743213,0.019468529123655508,0.4935732794479585,cuml
Random Sampling,0.6,2,36000,0.914,0.9127203456572216,0.01946655125685141,0.4930285635128827,cuml
Random Sampling,0.6,3,36000,0.9143,0.9132082989389915,0.01957805055967519,0.47107930922172436,cuml
Random Sampling,0.6,4,36000,0.9104,0.9092441504619562,0.019594410775412976,0.44991403230479066,cuml
Random Sampling,0.8,0,48000,0.9173,0.9161538509343978,0.016860309400056537,0.5903075469167609,cuml
Random Sampling,0.8,1,48000,0.9189,0.9177707260294448,0.016732522060996607,0.6013031030956068,cuml
Random Sampling,0.8,2,48000,0.9184,0.9174244934707818,0.016507407238608912,0.60546259629099,cuml
Random Sampling,0.8,3,48000,0.9203,0.9191854081147885,0.016343869661030016,0.5872690025128816,cuml
Random Sampling,0.8,4,48000,0.9187,0.9175569095848563,0.01624603271484375,0.5691848152562191,cuml
Random Sampling,1.0,0,60000,0.9213,0.9202548014488368,0.013252166138977563,0.6997693226117045,cuml
Random Sampling,1.0,1,60000,0.9213,0.9202603879913408,0.013192102688701213,0.7122803295359892,cuml
Random Sampling,1.0,2,60000,0.9213,0.9202596766741096,0.01319394592477494,0.7205509818902537,cuml
Random Sampling,1.0,3,60000,0.9214,0.9203549413617843,0.013205852829107717,0.7069623670658144,cuml
Random Sampling,1.0,4,60000,0.9212,0.9201574809538977,0.013177653320697175,0.688477892835601,cuml
Entropy Sampling,0.2,0,12000,0.9167,0.9155447615121188,0.20773192073987878,0.206572729608287,cuml
Entropy Sampling,0.2,1,12000,0.9164,0.9152467811828379,0.20315772554148798,0.20507720242375913,cuml
Entropy Sampling,0.2,2,12000,0.9145,0.9133278243825169,0.20321171180061673,0.21048417298690134,cuml
Entropy Sampling,0.2,3,12000,0.9176,0.9162873520985,0.20544186882350757,0.21550492618394934,cuml
Entropy Sampling,0.2,4,12000,0.9172,0.9159561081274864,0.20976260434026303,0.20624945474707562,cuml
Entropy Sampling,0.4,0,24000,0.9196,0.9184086423998794,0.18062893380510045,0.3322426106067414,cuml
Entropy Sampling,0.4,1,24000,0.9213,0.9201672348289314,0.17966288201352384,0.32807473426169537,cuml
Entropy Sampling,0.4,2,24000,0.9196,0.9184467481905964,0.18002449197972076,0.33261654224801573,cuml
Entropy Sampling,0.4,3,24000,0.9177,0.9165137164480728,0.1780208374591584,0.331740714134054,cuml
Entropy Sampling,0.4,4,24000,0.9213,0.9201999805775973,0.17833984151799628,0.3307521495413273,cuml
Entropy Sampling,0.6,0,36000,0.9209,0.9199326833707803,0.15183041465114538,0.44559924367447973,cuml
Entropy Sampling,0.6,1,36000,0.9202,0.919106780106772,0.15031978781794159,0.44700025840544366,cuml
Entropy Sampling,0.6,2,36000,0.9196,0.9184688283857335,0.14876213879652425,0.4531664344626413,cuml
Entropy Sampling,0.6,3,36000,0.9189,0.9178026217841451,0.1505715511214565,0.4556968346448012,cuml
Entropy Sampling,0.6,4,36000,0.9201,0.9189878039735244,0.14807838789174255,0.4458755976717237,cuml
Entropy Sampling,0.8,0,48000,0.9215,0.9204746410942546,0.1275292622415643,0.5630769252777099,cuml
Entropy Sampling,0.8,1,48000,0.9208,0.9197226163252228,0.12998759872034976,0.5715781789076956,cuml
Entropy Sampling,0.8,2,48000,0.9219,0.9208584575827619,0.12942111617640445,0.5641190077129163,cuml
Entropy Sampling,0.8,3,48000,0.9218,0.920731884994846,0.12687806581196032,0.565206786205894,cuml
Entropy Sampling,0.8,4,48000,0.9215,0.9204775468461115,0.12774065168280352,0.5653249840987357,cuml
Entropy Sampling,1.0,0,60000,0.9213,0.9202520318984625,0.10592362059264623,0.6819140290011879,cuml
Entropy Sampling,1.0,1,60000,0.9211,0.9200605640499605,0.10597662765438817,0.6844050723965428,cuml
Entropy Sampling,1.0,2,60000,0.9214,0.9203501130429188,0.1062922617968391,0.6842739221428623,cuml
Entropy Sampling,1.0,3,60000,0.9211,0.9200769761604446,0.10693014769994912,0.6864425234433984,cuml
Entropy Sampling,1.0,4,60000,0.9211,0.920081090616615,0.10649951966870733,0.6844448522359383,cuml
Margin Sampling,0.2,0,12000,0.9137,0.912364917405255,0.2097799881644871,0.21682423094044562,cuml
Margin Sampling,0.2,1,12000,0.9176,0.9163762264924007,0.2070175772127898,0.22312216136766516,cuml
Margin Sampling,0.2,2,12000,0.9168,0.9155092186332526,0.20778373013372006,0.22253056194471277,cuml
Margin Sampling,0.2,3,12000,0.9194,0.9181903096848151,0.20608315260513968,0.2086876682613207,cuml
Margin Sampling,0.2,4,12000,0.9144,0.913012884847873,0.20779876087022864,0.22105099843895953,cuml
Margin Sampling,0.4,0,24000,0.9182,0.917016896200451,0.18295672599305499,0.34127076635969444,cuml
Margin Sampling,0.4,1,24000,0.9221,0.9210161726832895,0.1813744382655367,0.3457815799307316,cuml
Margin Sampling,0.4,2,24000,0.9214,0.920336993602254,0.18185584088589282,0.3356057177198694,cuml
Margin Sampling,0.4,3,24000,0.9193,0.9182120794437889,0.181498370272048,0.330663817994138,cuml
Margin Sampling,0.4,4,24000,0.9217,0.920611897174785,0.18085875916988292,0.3422692633689718,cuml
Margin Sampling,0.6,0,36000,0.9198,0.9187120253292498,0.14982175827026367,0.4584319121401075,cuml
Margin Sampling,0.6,1,36000,0.9205,0.9194030636685028,0.14989319317777391,0.46734502617741974,cuml
Margin Sampling,0.6,2,36000,0.9199,0.9188298993601448,0.15022191531221632,0.4575437626368563,cuml
Margin Sampling,0.6,3,36000,0.9206,0.9195213348392283,0.14908202265349912,0.44988293043324645,cuml
Margin Sampling,0.6,4,36000,0.9208,0.9198155324487194,0.14972260300542267,0.4547596582224671,cuml
Margin Sampling,0.8,0,48000,0.923,0.9219932294119941,0.1294627540989926,0.5751227378845215,cuml
Margin Sampling,0.8,1,48000,0.922,0.920968767107661,0.12814722814058002,0.5787815997475072,cuml
Margin Sampling,0.8,2,48000,0.9224,0.9213233589217513,0.12734785079956054,0.5797568873355263,cuml
Margin Sampling,0.8,3,48000,0.9225,0.9214709729586048,0.1288459903315494,0.5675698104657625,cuml
Margin Sampling,0.8,4,48000,0.9228,0.9217369156295211,0.12816269774185984,0.5705620439429032,cuml
Margin Sampling,1.0,0,60000,0.9212,0.920151120568051,0.10701220776854443,0.6888444203288615,cuml
Margin Sampling,1.0,1,60000,0.9213,0.9202626951064395,0.10770149190886681,0.6894257769865149,cuml
Margin Sampling,1.0,2,60000,0.9211,0.9200546832105108,0.1084602440104765,0.6884063672618705,cuml
Margin Sampling,1.0,3,60000,0.9213,0.9202521238658481,0.10767389345569771,0.6788281452755968,cuml
Margin Sampling,1.0,4,60000,0.9212,0.9201686828515966,0.10720773103858243,0.6871258731649703,cuml
Least Confidence,0.2,0,12000,0.9148,0.9135448861839564,0.20951923080112622,0.21681540945301886,cuml
Least Confidence,0.2,1,12000,0.9188,0.9176070315159555,0.20962028918058975,0.21586615106333856,cuml
Least Confidence,0.2,2,12000,0.9148,0.9135795213582576,0.20932927338973337,0.2066134162571119,cuml
Least Confidence,0.2,3,12000,0.9152,0.9139697815849874,0.20519796661708667,0.20895042626754098,cuml
Least Confidence,0.2,4,12000,0.918,0.9166901833978667,0.20709382969400156,0.20762155366980511,cuml
Least Confidence,0.4,0,24000,0.9225,0.9214322394437204,0.1795801152574255,0.32724486006067155,cuml
Least Confidence,0.4,1,24000,0.922,0.9209240882688045,0.17908161751767424,0.32900889376376535,cuml
Least Confidence,0.4,2,24000,0.9197,0.9185883083522193,0.18197718579718408,0.32820655944499566,cuml
Least Confidence,0.4,3,24000,0.9213,0.9202565028240635,0.18099026477083247,0.328616350255114,cuml
Least Confidence,0.4,4,24000,0.9222,0.921109676504499,0.1819172514245865,0.3316967842426706,cuml
Least Confidence,0.6,0,36000,0.9211,0.9201032617216848,0.15237677936822597,0.4539760099330419,cuml
Least Confidence,0.6,1,36000,0.92,0.9189061455362053,0.15046212035165707,0.45443988853776957,cuml
Least Confidence,0.6,2,36000,0.9195,0.9184218157339578,0.15107781114712568,0.4592853599870709,cuml
Least Confidence,0.6,3,36000,0.9203,0.9192459485878712,0.14854127588406416,0.445593085087521,cuml
Least Confidence,0.6,4,36000,0.9204,0.9193657123385478,0.15193389167248364,0.44418850079388683,cuml
Least Confidence,0.8,0,48000,0.9229,0.921893987489112,0.1287229487770482,0.5737246689043547,cuml
Least Confidence,0.8,1,48000,0.9231,0.9220326113582807,0.12944349991647822,0.5664448938871685,cuml
Least Confidence,0.8,2,48000,0.9221,0.9210611042876982,0.1291548528169331,0.5677402370854427,cuml
Least Confidence,0.8,3,48000,0.9226,0.921590173222665,0.12895199625115644,0.5729058742523193,cuml
Least Confidence,0.8,4,48000,0.9223,0.9212375013171904,0.12828738312972218,0.5645669008556166,cuml
Least Confidence,1.0,0,60000,0.9212,0.9201686828515966,0.10801509648811917,0.6947626085842357,cuml
Least Confidence,1.0,1,60000,0.9211,0.9200622162737876,0.10928961809943705,0.6832171327927533,cuml
Least Confidence,1.0,2,60000,0.9213,0.9202613155441025,0.10892069840631566,0.6836173935096805,cuml
Least Confidence,1.0,3,60000,0.9214,0.9203675211616991,0.10938344282262466,0.6850474341576841,cuml
Least Confidence,1.0,4,60000,0.9213,0.9202638246928039,0.1084401587478253,0.6848782992162624,cuml
