strategy,budget_pct,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Entropy Sampling,0.2,0.8896599999999999,0.001962243613825753,0.91648,0.0010721940122944188,0.026820000000000066,3.014634804307271,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.2,0.8896599999999999,0.001962243613825753,0.91638,0.0020922714928995295,0.026720000000000077,3.0033945552233527,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.2,0.8896599999999999,0.001962243613825753,0.91632,0.0017232527382830514,0.026660000000000128,2.9966504057730066,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.4,0.90388,0.0016448708155961784,0.9198999999999999,0.0013371611720357612,0.016019999999999923,1.7723591627207065,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.4,0.90388,0.0016448708155961784,0.9205400000000001,0.001518683640525565,0.01666000000000012,1.8431650219055757,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.4,0.90388,0.0016448708155961784,0.9215399999999999,0.0010011992808627236,0.017659999999999898,1.9537991768818757,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.6,0.91304,0.0014263239463740407,0.9199399999999999,0.0006651315659326405,0.006899999999999906,0.7557171646368074,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.6,0.91304,0.0014263239463740407,0.92032,0.0003969886648255695,0.007280000000000064,0.7973363708052291,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.6,0.91304,0.0014263239463740407,0.9202600000000001,0.0005238320341483619,0.007220000000000115,0.7907649171996971,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,0.8,0.9187200000000001,0.0009641576634555195,0.9215,0.00038470768123344804,0.0027799999999998937,0.30259491466386856,15.0,0.03125,1.0,large,5,0.46875,False
Margin Sampling,0.8,0.9187200000000001,0.0009641576634555195,0.92254,0.00034409301068169686,0.0038199999999999346,0.4157958899338138,15.0,0.03125,1.0,large,5,0.46875,False
Least Confidence,0.8,0.9187200000000001,0.0009641576634555195,0.9226000000000001,0.00036878177829172305,0.0038799999999999946,0.4223267154301631,15.0,0.03125,1.0,large,5,0.46875,False
Entropy Sampling,1.0,0.9212999999999999,6.324555320336061e-05,0.9212,0.00012649110640672122,-9.999999999987796e-05,-0.010854227721684356,3.0,0.9375,-0.44,medium,5,1.0,False
Margin Sampling,1.0,0.9212999999999999,6.324555320336061e-05,0.9212200000000001,7.483314773547058e-05,-7.999999999974694e-05,-0.008683382177330614,1.5,1.0,-0.52,large,5,1.0,False
Least Confidence,1.0,0.9212999999999999,6.324555320336061e-05,0.9212600000000002,0.00010198039027184446,-3.999999999970694e-05,-0.004341691088647231,5.0,0.875,-0.2,small,5,1.0,False
