strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.098,0.01785063752276867,0.023032188415527344,0.04739584093508513,cuml
Random Sampling,0.2,1,12000,0.098,0.01785063752276867,0.023139995077381962,0.047302049139271614,cuml
Random Sampling,0.2,2,12000,0.098,0.01785063752276867,0.022786306298297386,0.0464788934458857,cuml
Random Sampling,0.2,3,12000,0.098,0.01785063752276867,0.022424832634303882,0.04576266330221425,cuml
Random Sampling,0.2,4,12000,0.098,0.01785063752276867,0.022739286008088486,0.04677934231965438,cuml
Random Sampling,0.4,0,24000,0.098,0.01785063752276867,0.0192415511354487,0.09106933816950372,cuml
Random Sampling,0.4,1,24000,0.098,0.01785063752276867,0.01920230337914,0.09020748544246593,cuml
Random Sampling,0.4,2,24000,0.098,0.01785063752276867,0.019314659402725545,0.09148078269146859,cuml
Random Sampling,0.4,3,24000,0.098,0.01785063752276867,0.01928043872752088,0.09137896781272077,cuml
Random Sampling,0.4,4,24000,0.098,0.01785063752276867,0.019196545824091485,0.09100569055435505,cuml
Random Sampling,0.6,0,36000,0.098,0.01785063752276867,0.015799566054008375,0.13533816203265123,cuml
Random Sampling,0.6,1,36000,0.098,0.01785063752276867,0.01573485723683532,0.13556230907708827,cuml
Random Sampling,0.6,2,36000,0.098,0.01785063752276867,0.015803380751274,0.1450015323262819,cuml
Random Sampling,0.6,3,36000,0.098,0.01785063752276867,0.015773209047989106,0.16339976351026078,cuml
Random Sampling,0.6,4,36000,0.098,0.01785063752276867,0.015602189050593846,0.1615971242877799,cuml
Random Sampling,0.8,0,48000,0.098,0.01785063752276867,0.013119230772319593,0.21366730238261974,cuml
Random Sampling,0.8,1,48000,0.098,0.01785063752276867,0.012994382255955747,0.21904685873734323,cuml
Random Sampling,0.8,2,48000,0.098,0.01785063752276867,0.013068819046020507,0.2198267560256155,cuml
Random Sampling,0.8,3,48000,0.098,0.01785063752276867,0.01318858548214561,0.21776387816981266,cuml
Random Sampling,0.8,4,48000,0.098,0.01785063752276867,0.013110037853843287,0.2209630665026213,cuml
Random Sampling,1.0,0,60000,0.098,0.01785063752276867,0.010975505123619273,0.2759477190610741,cuml
Random Sampling,1.0,1,60000,0.098,0.01785063752276867,0.010847139759224002,0.27284493766912893,cuml
Random Sampling,1.0,2,60000,0.098,0.01785063752276867,0.011048735690717938,0.27351638649692056,cuml
Random Sampling,1.0,3,60000,0.098,0.01785063752276867,0.01096169087065368,0.27149928718053995,cuml
Random Sampling,1.0,4,60000,0.098,0.01785063752276867,0.011025052110688025,0.27044246777766895,cuml
Entropy Sampling,0.2,0,12000,0.098,0.01785063752276867,0.4162552045739215,0.05585722301317298,cuml
Entropy Sampling,0.2,1,12000,0.098,0.01785063752276867,0.4142448383828868,0.057345493980076004,cuml
