strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.9196,0.9187036253996312,0.02463786498360012,0.18397289773692255,cuml
Random Sampling,0.2,1,12000,0.9208,0.9200263083973846,0.024527052174443783,0.18096003325089163,cuml
Random Sampling,0.2,2,12000,0.9204,0.9195805589515471,0.02434582295625106,0.18240177113076914,cuml
Random Sampling,0.2,3,12000,0.9207,0.9198798154677552,0.02449240891829781,0.1822948870451554,cuml
Random Sampling,0.2,4,12000,0.9225,0.9217043304781993,0.02451865569404934,0.18197243109993314,cuml
Random Sampling,0.4,0,24000,0.9239,0.9231154272701166,0.022122489645126017,0.20752914915693568,cuml
Random Sampling,0.4,1,24000,0.9262,0.9254459202526075,0.02211017811552007,0.20674267221004405,cuml
Random Sampling,0.4,2,24000,0.9283,0.9275835990953203,0.022133370663257355,0.20660365896022065,cuml
Random Sampling,0.4,3,24000,0.9233,0.9225101391516392,0.021971220665789666,0.20590170393598842,cuml
Random Sampling,0.4,4,24000,0.9264,0.9256667732857287,0.022090566919205037,0.2057189332677963,cuml
Random Sampling,0.6,0,36000,0.9257,0.9249049497836823,0.019848719449110434,0.2268183365674086,cuml
Random Sampling,0.6,1,36000,0.9255,0.92468695652223,0.01967249118106466,0.22862359167824328,cuml
Random Sampling,0.6,2,36000,0.9253,0.9244641825242012,0.019684109889285664,0.22825381453608123,cuml
Random Sampling,0.6,3,36000,0.9255,0.9248083838009828,0.019587409328406965,0.2300207211937703,cuml
Random Sampling,0.6,4,36000,0.9244,0.9236247853267769,0.019805145935273508,0.22935340102289764,cuml
Random Sampling,0.8,0,48000,0.925,0.9242166688836138,0.01698949462489078,0.2513936067882337,cuml
Random Sampling,0.8,1,48000,0.9269,0.92627450388408,0.017225431141100433,0.2487051763032612,cuml
Random Sampling,0.8,2,48000,0.9249,0.9241220821611706,0.017187597877100894,0.2499985418821636,cuml
Random Sampling,0.8,3,48000,0.9263,0.925598666610191,0.01715957992955258,0.25014532239813553,cuml
Random Sampling,0.8,4,48000,0.9246,0.9238390942787508,0.016980334332114773,0.2497682897668136,cuml
Random Sampling,1.0,0,60000,0.9246,0.9238369263294424,0.013875933254466337,0.27359812600272043,cuml
Random Sampling,1.0,1,60000,0.9272,0.9265238518047327,0.01387178196626551,0.27444281698275014,cuml
Random Sampling,1.0,2,60000,0.9303,0.9297260779239276,0.013966133614548114,0.2748408377671442,cuml
Random Sampling,1.0,3,60000,0.9255,0.9247827793805925,0.013784642980880096,0.2728902812765426,cuml
Random Sampling,1.0,4,60000,0.9267,0.9259626303612029,0.013751997667200425,0.27226295591402455,cuml
Entropy Sampling,0.2,0,12000,0.9456,0.9452560276537912,0.10170501211415166,0.18341402385545813,cuml
Entropy Sampling,0.2,1,12000,0.9458,0.9454763195939702,0.10207982685254968,0.18217537714087445,cuml
Entropy Sampling,0.2,2,12000,0.9424,0.9420007080819847,0.10243857425192128,0.1824706741001295,cuml
Entropy Sampling,0.2,3,12000,0.9468,0.94643553146687,0.10147771628006645,0.18354004362355109,cuml
Entropy Sampling,0.2,4,12000,0.9445,0.9441279584065683,0.10181193766386612,0.18534531800643259,cuml
Entropy Sampling,0.4,0,24000,0.9435,0.9431616791138969,0.08746299845107058,0.20731869149715343,cuml
Entropy Sampling,0.4,1,24000,0.9453,0.944957797855942,0.08684392178312261,0.208811805603352,cuml
Entropy Sampling,0.4,2,24000,0.9425,0.9420949903796558,0.08740225244075694,0.20880254278791713,cuml
Entropy Sampling,0.4,3,24000,0.9452,0.9447469617732267,0.0865641604078577,0.20865556534300458,cuml
Entropy Sampling,0.4,4,24000,0.9439,0.943436161950322,0.08754690657270715,0.21032172568300936,cuml
Entropy Sampling,0.6,0,36000,0.9347,0.9342320397170306,0.06816920764009718,0.22936722930048553,cuml
Entropy Sampling,0.6,1,36000,0.9376,0.9371029658537722,0.06813883109831474,0.229724494504257,cuml
Entropy Sampling,0.6,2,36000,0.9369,0.9364837848282056,0.06829582133763273,0.22965831487951144,cuml
Entropy Sampling,0.6,3,36000,0.9376,0.9372724567420961,0.06836008018171283,0.23010067200996506,cuml
Entropy Sampling,0.6,4,36000,0.937,0.9364936056060971,0.06825468909572548,0.23001721879126322,cuml
Entropy Sampling,0.8,0,48000,0.9301,0.9294773402989532,0.05849020104659231,0.2522571086883545,cuml
Entropy Sampling,0.8,1,48000,0.9299,0.9292766948470478,0.05832377483970241,0.251809202997308,cuml
Entropy Sampling,0.8,2,48000,0.9306,0.9301728761681322,0.05812533278214304,0.2505969423996775,cuml
Entropy Sampling,0.8,3,48000,0.9295,0.9289577220981565,0.058446108667474045,0.2508264692206132,cuml
Entropy Sampling,0.8,4,48000,0.9312,0.9306336139261889,0.058678556743421054,0.2516357572455155,cuml
Entropy Sampling,1.0,0,60000,0.9271,0.9264222342110721,0.04861484255109515,0.27428922332635447,cuml
Entropy Sampling,1.0,1,60000,0.927,0.9263988248825162,0.0486938612801688,0.27403975334488045,cuml
Entropy Sampling,1.0,2,60000,0.926,0.925330563882069,0.04870638727140026,0.2744477396251775,cuml
Entropy Sampling,1.0,3,60000,0.9269,0.926170602422237,0.048869808180993346,0.2739301589356751,cuml
Entropy Sampling,1.0,4,60000,0.9276,0.9270126890081892,0.04873730755653702,0.2739085149364311,cuml
Margin Sampling,0.2,0,12000,0.9603,0.9600527618200809,0.10316794851551885,0.1891186237335205,cuml
Margin Sampling,0.2,1,12000,0.9593,0.9590273893501179,0.10257601737976074,0.18754109092380689,cuml
Margin Sampling,0.2,2,12000,0.9591,0.958856550087727,0.1030013250268024,0.1884903804115627,cuml
Margin Sampling,0.2,3,12000,0.9573,0.957025386534722,0.10292956103449283,0.1872762908106265,cuml
Margin Sampling,0.2,4,12000,0.9581,0.9579716831007412,0.10306577060533606,0.18554513350777005,cuml
