strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.834174,600.0,0.0,99.0,0.0,0.9268599999999999
Entropy Sampling,90,0.834174,600.0,0.0,99.0,0.0,0.9268599999999999
Margin Sampling,90,0.834174,600.0,0.0,99.0,0.0,0.9268599999999999
Least Confidence,90,0.834174,600.0,0.0,99.0,0.0,0.9268599999999999
Random Sampling,95,0.8805169999999999,1500.0,200.0,97.5,0.0,0.9268599999999999
Entropy Sampling,95,0.8805169999999999,1800.0,244.94897427831782,97.0,-20.0,0.9268599999999999
Margin Sampling,95,0.8805169999999999,1100.0,0.0,98.16666666666667,26.666666666666668,0.9268599999999999
Least Confidence,95,0.8805169999999999,1600.0,316.22776601683796,97.33333333333334,-6.666666666666667,0.9268599999999999
Random Sampling,98,0.9083227999999999,3500.0,374.16573867739413,94.16666666666667,0.0,0.9268599999999999
Entropy Sampling,98,0.9083227999999999,3200.0,200.0,94.66666666666667,8.571428571428571,0.9268599999999999
Margin Sampling,98,0.9083227999999999,1600.0,0.0,97.33333333333334,54.285714285714285,0.9268599999999999
Least Confidence,98,0.9083227999999999,2600.0,0.0,95.66666666666667,25.71428571428571,0.9268599999999999
