strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Random Sampling,0.2,0,12000,0.94,0.9393893801006561,0.02232230227926503,5.778349544691003,cuml
Random Sampling,0.2,1,12000,0.9447,0.9441842227207807,0.022328708482825237,5.74457515840945,cuml
Random Sampling,0.2,2,12000,0.9445,0.9440199285791021,0.022373209828915802,5.7479387262593145,cuml
Random Sampling,0.2,3,12000,0.9464,0.9460002297519482,0.019975465276966923,5.766256166541058,cuml
Random Sampling,0.2,4,12000,0.9443,0.9438655229386723,0.02216762045155401,5.7802639422209365,cuml
Random Sampling,0.4,0,24000,0.9543,0.9538567815522333,0.01759065972997787,6.872533118471186,cuml
Random Sampling,0.4,1,24000,0.9538,0.9534497755435012,0.017964505134744846,6.890644966287816,cuml
Random Sampling,0.4,2,24000,0.9539,0.953490484832421,0.017684241558643097,6.888031244277954,cuml
Random Sampling,0.4,3,24000,0.956,0.9556108323131578,0.017836925831246884,6.909336830707306,cuml
Random Sampling,0.4,4,24000,0.9537,0.9533134817389497,0.017924420377041433,6.873354663240149,cuml
Random Sampling,0.6,0,36000,0.9603,0.9600021711453346,0.014739291768678477,7.960163079516988,cuml
Random Sampling,0.6,1,36000,0.9595,0.9591567774539511,0.014392241625718668,7.983943284397394,cuml
Random Sampling,0.6,2,36000,0.9585,0.9581439302037611,0.011762226131600393,11.581802042437271,cuml
Random Sampling,0.6,3,36000,0.9623,0.961993400754271,0.01469985196288203,12.34179216035655,cuml
Random Sampling,0.6,4,36000,0.9613,0.961030792664139,0.012150364862361424,12.37497599359969,cuml
Random Sampling,0.8,0,48000,0.9625,0.9622042237273764,0.010652075315776624,14.847024626480906,cuml
Random Sampling,0.8,1,48000,0.9635,0.9632285496994981,0.010165447937814813,14.88528487807826,cuml
Random Sampling,0.8,2,48000,0.9633,0.9630285863401999,0.01152965646041067,14.884402915051108,cuml
Random Sampling,0.8,3,48000,0.9642,0.9639049623110042,0.011087530537655479,14.900898938429982,cuml
Random Sampling,0.8,4,48000,0.963,0.9627261799470528,0.010559415817260743,14.883467940280312,cuml
Random Sampling,1.0,0,60000,0.9664,0.9661438758500696,0.008756188785328585,19.560892393609056,cuml
Random Sampling,1.0,1,60000,0.9659,0.9656226037282437,0.008474664527828954,19.608353214103634,cuml
Random Sampling,1.0,2,60000,0.966,0.9657399293320905,0.009900668088127585,19.642339231587258,cuml
Random Sampling,1.0,3,60000,0.9663,0.9660062613847306,0.008883676609071363,19.65320458131678,cuml
Random Sampling,1.0,4,60000,0.9664,0.9661430776474106,0.00927206247794528,19.66784048280796,cuml
Entropy Sampling,0.2,0,12000,0.9658,0.9654970895232843,54.7098549241605,7.6111655442611035,cuml
Entropy Sampling,0.2,1,12000,0.9674,0.9670997607331057,54.66626220164092,7.622446671776149,cuml
Entropy Sampling,0.2,2,12000,0.9657,0.9654164476479561,54.72470570647198,7.594130122143289,cuml
Entropy Sampling,0.2,3,12000,0.9658,0.9654449105111921,54.647365165793374,7.564984860627548,cuml
Entropy Sampling,0.2,4,12000,0.9668,0.9664787920320022,54.80074600551439,7.615222754685775,cuml
Entropy Sampling,0.4,0,24000,0.9666,0.9663767693589913,50.021335190915046,10.308485543474237,cuml
Entropy Sampling,0.4,1,24000,0.9665,0.9662396553807537,49.81385583065926,10.35697984188161,cuml
Entropy Sampling,0.4,2,24000,0.9659,0.9656030150084007,50.00760659258416,10.339625201326735,cuml
Entropy Sampling,0.4,3,24000,0.9672,0.9669209063681443,50.075674523698524,10.332755930880284,cuml
Entropy Sampling,0.4,4,24000,0.9677,0.9674364173727442,50.09480161362506,10.363991569965444,cuml
Entropy Sampling,0.6,0,36000,0.9654,0.9651584910211015,44.42928618780324,12.865266752914644,cuml
Entropy Sampling,0.6,1,36000,0.9657,0.9654911911548398,44.3057184488001,12.881592444970574,cuml
Entropy Sampling,0.6,2,36000,0.9658,0.9655566902530153,44.32295755265464,12.846865808460075,cuml
Entropy Sampling,0.6,3,36000,0.9669,0.9666456522454873,44.448853784883525,12.801829929083166,cuml
Entropy Sampling,0.6,4,36000,0.9664,0.9661705512862385,44.335142907961995,12.83179455743709,cuml
Entropy Sampling,0.8,0,48000,0.9663,0.9660646513990458,38.295371539969196,15.30504574022795,cuml
Entropy Sampling,0.8,1,48000,0.9665,0.9662612473549774,38.371912519555345,15.35597612983302,cuml
Entropy Sampling,0.8,2,48000,0.9653,0.9650960094967415,38.33780661884107,15.362509458943418,cuml
Entropy Sampling,0.8,3,48000,0.9672,0.9669762488853019,38.59025790816859,15.334580622221294,cuml
Entropy Sampling,0.8,4,48000,0.9663,0.9660851971281008,38.462366528260084,15.41939027936835,cuml
Entropy Sampling,1.0,0,60000,0.9667,0.966448891766445,32.06692380865081,20.155091169501553,cuml
Entropy Sampling,1.0,1,60000,0.9665,0.9662324426033365,32.142503570107856,20.146364242088897,cuml
Entropy Sampling,1.0,2,60000,0.966,0.9657223595933491,32.170608296113855,20.17627975519966,cuml
Entropy Sampling,1.0,3,60000,0.9663,0.966045359834523,32.226345793539735,20.103393837183464,cuml
Entropy Sampling,1.0,4,60000,0.9664,0.9661625197331289,32.099956770904924,20.274271806748974,cuml
Margin Sampling,0.2,0,12000,0.9671,0.9668344306230221,54.94328455303026,7.606712600459224,cuml
Margin Sampling,0.2,1,12000,0.9682,0.9678817458156642,54.99142196904058,7.592659349026888,cuml
Margin Sampling,0.2,2,12000,0.9668,0.966521871369211,54.86425164471502,7.557688381360925,cuml
Margin Sampling,0.2,3,12000,0.9684,0.9680603289882818,54.89805941996367,7.603499257046243,cuml
Margin Sampling,0.2,4,12000,0.9684,0.9681164888670908,54.9103568325872,7.611253303030263,cuml
Margin Sampling,0.4,0,24000,0.9665,0.966224831523388,50.390699817779215,10.316493166253922,cuml
Margin Sampling,0.4,1,24000,0.9681,0.9678715924741143,50.35297177193013,10.352586523015448,cuml
