classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
CNN,Random Sampling,0.2,0,12000,0.9901,0.9900302592965223,0.022586718849513843,1.4462434519892153
CNN,Random Sampling,0.2,1,12000,0.9912,0.991179321484093,0.022200252698815388,1.4341124451678733
CNN,Random Sampling,0.2,2,12000,0.9918,0.9917622197485102,0.022047913592794666,1.4383976770483928
CNN,Random Sampling,0.4,0,24000,0.9928,0.9927090318339781,0.019965445741694024,2.846666934642386
CNN,Random Sampling,0.4,1,24000,0.9934,0.99335434633995,0.02005929135261698,2.858157624589636
CNN,Random Sampling,0.4,2,24000,0.9941,0.9940679871981581,0.020075924853061106,2.870386504112406
CNN,Random Sampling,0.6,0,36000,0.9948,0.994731147112628,0.017770098968290945,4.305763926304562
CNN,Random Sampling,0.6,1,36000,0.9945,0.9944979285530314,0.01785355890300912,4.318686790869269
CNN,Random Sampling,0.6,2,36000,0.995,0.9949687900110771,0.017782822461195395,4.320250957784518
CNN,Random Sampling,0.8,0,48000,0.9954,0.9953470858101824,0.015433660306428608,5.75512789425097
CNN,Random Sampling,0.8,1,48000,0.9946,0.9945366104622057,0.015453178004214639,5.755215800435919
CNN,Random Sampling,0.8,2,48000,0.9952,0.9951782848752326,0.0155216468007941,5.755058775450054
CNN,Random Sampling,1.0,0,60000,0.9962,0.9961637189322603,0.012748567997908392,7.20129814468512
CNN,Random Sampling,1.0,1,60000,0.9961,0.9960847945620193,0.012796942927256352,7.209386743417307
CNN,Random Sampling,1.0,2,60000,0.9955,0.9954766801025231,0.012815170929211528,7.242601412684977
CNN,Entropy Sampling,0.2,0,12000,0.995,0.9949494528298318,1.0472088793049688,1.4665842367255169
CNN,Entropy Sampling,0.2,1,12000,0.9951,0.995069537480596,1.043638447056646,1.4671673982039741
CNN,Entropy Sampling,0.2,2,12000,0.9954,0.9953758695180422,1.0441623045050579,1.467527607212896
CNN,Entropy Sampling,0.4,0,24000,0.9955,0.9954494316365888,0.9263940009664982,2.9154835051678596
CNN,Entropy Sampling,0.4,1,24000,0.9953,0.9952753988673801,0.9304535845492748,2.9177970176047467
CNN,Entropy Sampling,0.4,2,24000,0.9951,0.9950629571778359,0.9331610811517593,2.920083959051903
CNN,Entropy Sampling,0.6,0,36000,0.9957,0.9956754525646243,0.8124226986522406,4.372192896587748
CNN,Entropy Sampling,0.6,1,36000,0.9963,0.996276284303101,0.8166660187949597,4.373310136123442
CNN,Entropy Sampling,0.6,2,36000,0.9956,0.995575930965425,0.8187706974190725,4.375408881147143
CNN,Entropy Sampling,0.8,0,48000,0.9961,0.996046332751976,0.6976437418084396,5.829865355240671
CNN,Entropy Sampling,0.8,1,48000,0.9957,0.9956619145214468,0.7572229209699128,5.972852325439453
CNN,Entropy Sampling,0.8,2,48000,0.9963,0.9962827084394172,0.7587671305003919,5.96624073229338
CNN,Entropy Sampling,1.0,0,60000,0.9962,0.9961794571017585,0.6344516297348407,7.45623059833751
