classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
CNN,0.2,Entropy Sampling,0.9910333333333333,0.0007039570693981077,0.9951666666666666,0.00016996731711974077,0.004133333333333322,0.4170730886953001,6.0,0.125,1.0,large,3,1.0,False
CNN,0.2,Margin Sampling,0.9910333333333333,0.0007039570693981077,0.9949,0.00028284271247458785,0.003866666666666685,0.3901651474891546,6.0,0.125,1.0,large,3,1.0,False
CNN,0.2,Least Confidence,0.9910333333333333,0.0007039570693981077,0.9955333333333334,0.0002494438257849514,0.0045000000000000595,0.4540715078537614,6.0,0.125,1.0,large,3,1.0,False
CNN,0.4,Entropy Sampling,0.9934333333333333,0.0005312459150169621,0.9953,0.00016329931618557254,0.0018666666666666831,0.1879005469248079,6.0,0.125,1.0,large,3,1.0,False
CNN,0.4,Margin Sampling,0.9934333333333333,0.0005312459150169621,0.9948666666666667,0.00020548046676560993,0.0014333333333333975,0.14428077710298268,6.0,0.125,1.0,large,3,1.0,False
CNN,0.4,Least Confidence,0.9934333333333333,0.0005312459150169621,0.9953666666666666,0.0003091206165165413,0.0019333333333333425,0.19461128074355025,6.0,0.125,1.0,large,3,1.0,False
CNN,0.6,Entropy Sampling,0.9947666666666667,0.00020548046676560993,0.9958666666666667,0.0003091206165164894,0.0010999999999999899,0.11057869517139594,6.0,0.125,1.0,large,3,1.0,False
CNN,0.6,Margin Sampling,0.9947666666666667,0.00020548046676560993,0.9955333333333334,0.0003858612300930162,0.0007666666666666933,0.07706999966491572,5.5,0.25,0.8888888888888888,large,3,1.0,False
CNN,0.6,Least Confidence,0.9947666666666667,0.00020548046676560993,0.9955666666666666,4.714045207909797e-05,0.0007999999999999119,0.08042086921555258,6.0,0.125,1.0,large,3,1.0,False
CNN,0.8,Entropy Sampling,0.9950666666666667,0.00033993463423948153,0.9960333333333334,0.00024944382578490196,0.0009666666666667822,0.09714591987137702,6.0,0.125,1.0,large,3,1.0,False
CNN,0.8,Margin Sampling,0.9950666666666667,0.00033993463423948153,0.9955999999999999,0.00042426406871193413,0.0005333333333332746,0.05359774889454053,6.0,0.125,0.5555555555555556,large,3,1.0,False
CNN,0.8,Least Confidence,0.9950666666666667,0.00033993463423948153,0.9958333333333332,0.00024944382578490196,0.0007666666666665822,0.07704676403590201,6.0,0.125,1.0,large,3,1.0,False
CNN,1.0,Entropy Sampling,0.9959333333333333,0.0003091206165164894,0.9958666666666667,0.00024944382578490196,-6.666666666665932e-05,-0.006693888479817189,2.5,0.75,0.0,negligible,3,1.0,False
CNN,1.0,Margin Sampling,0.9959333333333333,0.0003091206165164894,0.9956333333333335,0.00012472191289245098,-0.00029999999999985594,-0.030122498159166202,0.5,1.0,-0.4444444444444444,medium,3,1.0,False
CNN,1.0,Least Confidence,0.9959333333333333,0.0003091206165164894,0.9958,0.0002943920288775625,-0.00013333333333331865,-0.013387776959634378,2.5,0.75,-0.1111111111111111,negligible,3,1.0,False
Naive Bayes,0.2,Entropy Sampling,0.5597,0.01700725335457394,0.6148,0.013723945011062515,0.05510000000000004,9.844559585492235,6.0,0.125,1.0,large,3,1.0,False
Naive Bayes,0.2,Margin Sampling,0.5597,0.01700725335457394,0.5955333333333334,0.01988572910964603,0.035833333333333384,6.402239294860351,6.0,0.125,0.7777777777777778,large,3,1.0,False
Naive Bayes,0.2,Least Confidence,0.5597,0.01700725335457394,0.59,0.013523559689174576,0.030299999999999994,5.413614436305163,6.0,0.125,0.7777777777777778,large,3,1.0,False
Naive Bayes,0.4,Entropy Sampling,0.5598,0.02158379021395458,0.6257,0.009970289196741823,0.06590000000000007,11.772061450518056,6.0,0.125,1.0,large,3,1.0,False
Naive Bayes,0.4,Margin Sampling,0.5598,0.02158379021395458,0.5634666666666667,0.009862499119842253,0.003666666666666707,0.6549958318447137,4.0,0.375,0.3333333333333333,medium,3,1.0,False
Naive Bayes,0.4,Least Confidence,0.5598,0.02158379021395458,0.5708,0.011390346790155265,0.01100000000000001,1.9649874955341213,5.0,0.25,0.3333333333333333,medium,3,1.0,False
Naive Bayes,0.6,Entropy Sampling,0.5548000000000001,0.013062924634246329,0.5624666666666667,0.011482256843592291,0.0076666666666665995,1.3818793559240445,4.0,0.375,0.5555555555555556,large,3,1.0,False
Naive Bayes,0.6,Margin Sampling,0.5548000000000001,0.013062924634246329,0.5551333333333334,0.003184685576665662,0.0003333333333332966,0.06008171112712627,3.0,0.625,0.3333333333333333,medium,3,1.0,False
Naive Bayes,0.6,Least Confidence,0.5548000000000001,0.013062924634246329,0.5595,0.006772001181334798,0.0046999999999999265,0.8471521268925605,5.0,0.25,0.3333333333333333,medium,3,1.0,False
Naive Bayes,0.8,Entropy Sampling,0.5535,0.005021951811795879,0.5499999999999999,0.006366055817118404,-0.0035000000000000586,-0.6323396567299112,2.0,0.75,-0.5555555555555556,large,3,1.0,False
Naive Bayes,0.8,Margin Sampling,0.5535,0.005021951811795879,0.5562,0.0018018509002319734,0.0027000000000000357,0.4878048780487869,4.0,0.375,0.3333333333333333,medium,3,1.0,False
Naive Bayes,0.8,Least Confidence,0.5535,0.005021951811795879,0.5584333333333333,0.00037712361663283614,0.004933333333333345,0.8912978018669098,5.0,0.25,0.3333333333333333,medium,3,1.0,False
Naive Bayes,1.0,Entropy Sampling,0.556,0.0,0.556,0.0,0.0,0.0,0.0,1.0,0.0,negligible,3,1.0,False
Naive Bayes,1.0,Margin Sampling,0.556,0.0,0.556,0.0,0.0,0.0,0.0,1.0,0.0,negligible,3,1.0,False
Naive Bayes,1.0,Least Confidence,0.556,0.0,0.556,0.0,0.0,0.0,0.0,1.0,0.0,negligible,3,1.0,False
Random Forest,0.2,Entropy Sampling,0.9527666666666667,0.00020548046676560993,0.9702000000000001,0.0007788880963698232,0.01743333333333341,1.8297589476262195,6.0,0.125,1.0,large,3,1.0,False
