,WKT,mat_qgis,ezg,id,area_type,area,Shape,Pred_Patch,Pred_normal
0,"MULTIPOLYGON (((2553961.62472711 5467550.31352509,2553971.12751531 5467514.3242421,2553873.370109 5467482.88416624,2553862.45201191 5467518.57016875,2553961.62472711 5467550.31352509)))",Beton,Industriegebiet_Fordwerke,1,0,3862.22,1000,,
1,"MULTIPOLYGON (((2554024.80815932 5467519.88438414,2554018.94473681 5467539.85034872,2554012.67694034 5467538.13175936,2554006.61133084 5467557.9460837,2554027.33549661 5467563.65786598,2554028.95299248 5467566.84231096,2554027.58823034 5467567.60051215,2554030.51994159 5467572.70573347,2554031.27814278 5467571.84643879,2554033.35055936 5467574.77815005,2554032.54181142 5467576.64837964,2554050.33426594 5467582.00633469,2554063.12259262 5467540.91183038,2554068.88492163 5467541.9227653,2554070.30023051 5467534.23965994,2554024.80815932 5467519.88438414)))",Beton,Industriegebiet_Fordwerke,2,0,2181.13,1000,,
2,"MULTIPOLYGON (((2554195.94599167 5467553.31411455,2554194.44303813 5467557.74389672,2554170.7871611 5467551.9815677,2554165.53029954 5467572.80682696,2554185.64790436 5467577.76040805,2554184.43478246 5467582.61289564,2554228.38913303 5467592.2436578,2554228.82640546 5467590.77944661,2554228.82640546 5467590.77944661,2554228.82640546 5467590.77944661,2554235.00512864 5467562.0036263,2554235.00512864 5467562.0036263,2554195.94599167 5467553.31411455)))",Bitumen,Industriegebiet_Fordwerke,3,0,1810.98,1000,,7.0
3,"MULTIPOLYGON (((2554401.78578927 5467544.70283631,2554397.94423659 5467545.61267774,2554397.53986263 5467548.84766947,2554383.4878673 5467543.79299489,2554381.97146493 5467549.15094994,2554372.26648974 5467545.81486472,2554366.30197374 5467565.02262811,2554399.86501293 5467575.83963171,2554404.41422005 5467560.97888845,2554423.72307694 5467567.04449794,2554430.49634087 5467544.60174282,2554401.78578927 5467544.70283631)))",Bitumen,Industriegebiet_Fordwerke,4,0,1308.61,1000,2.0,2.0
4,"MULTIPOLYGON (((2554399.86501293 5467575.83963171,2554361.34839266 5467564.0116932,2554352.14888493 5467593.12661876,2554404.81859402 5467610.11032534,2554407.34593131 5467603.23596791,2554405.22296798 5467602.93268744,2554408.15467924 5467594.13755368,2554400.16829341 5467591.61021639,2554405.22296798 5467577.35603408,2554399.86501293 5467575.83963171)))",Beton,Industriegebiet_Fordwerke,5,0,1547.07,1000,,
5,"MULTIPOLYGON (((2554512.38206902 5467548.4432955,2554508.43942285 5467560.57451448,2554485.99666772 5467554.30671801,2554479.82996474 5467576.54728615,2554475.07857064 5467576.14291218,2554467.79983925 5467598.48457381,2554472.95560732 5467600.30425666,2554457.99377057 5467650.85100243,2554516.1225282 5467667.43033504,2554520.57064183 5467651.86193734,2554526.02969037 5467653.5805267,2554533.71279573 5467630.22793015,2554527.54609275 5467628.20606032,2554535.3302916 5467599.89988269,2554541.19371411 5467601.71956554,2554548.16916502 5467577.86150154,2554542.20464902 5467576.44619266,2554544.12542536 5467571.1893311,2554527.14171878 5467566.23575001,2554530.57889749 5467553.70015706,2554512.38206902 5467548.4432955)))",Asbest|Faserzement,Industriegebiet_Fordwerke,6,0,6717.82,1000,,2.0
6,"MULTIPOLYGON (((2554830.72547387 5467634.67604378,2554828.09704309 5467642.46024263,2554820.51503123 5467640.53946629,2554815.56145014 5467654.89474209,2554823.54783597 5467657.72535985,2554814.75270221 5467687.14356589,2554853.57260296 5467698.06166298,2554869.03990717 5467646.09960833,2554830.72547387 5467634.67604378)))",Asbest|Faserzement,Industriegebiet_Fordwerke,7,0,2323.3,1000,,
7,"MULTIPOLYGON (((2553864.17060127 5467542.07440553,2553859.52030066 5467552.68922214,2553861.13779652 5467556.32858784,2553863.15966635 5467557.13733577,2553865.08044269 5467552.38594167,2553881.15430784 5467559.96795353,2553885.299141 5467551.17281977,2553864.17060127 5467542.07440553)))",Bitumen,Industriegebiet_Fordwerke,8,0,236.89,1000,,
8,"MULTIPOLYGON (((2553921.79389144 5467575.23307076,2553926.34309856 5467566.23575001,2553916.3348429 5467561.5854494,2553911.98782276 5467571.1893311,2553921.79389144 5467575.23307076)))",Metallbahn,Industriegebiet_Fordwerke,9,0,112.91,1000,,
9,"MULTIPOLYGON (((2553865.08044269 5467552.38594167,2553853.25250418 5467579.98446486,2553847.38908167 5467577.55822106,2553834.95458221 5467605.25783774,2553840.51472425 5467608.08845551,2553824.44085909 5467644.68429944,2553841.32347218 5467652.16521782,2553835.96551713 5467660.85925809,2553819.79055848 5467653.37833972,2553799.36967319 5467699.37587837,2553871.55042615 5467731.62470217,2553880.04227944 5467712.31584528,2553886.61335639 5467710.39506895,2553884.0860191 5467704.12727247,2553904.00143693 5467659.94941667,2553916.63812337 5467630.02574317,2553923.20920032 5467627.49840588,2553920.98514351 5467621.53388988,2553937.46338263 5467584.53367198,2553865.08044269 5467552.38594167)))",Beton,Industriegebiet_Fordwerke,10,0,12778.23,1000,,
10,"MULTIPOLYGON (((2554054.83292631 5467726.77221457,2554033.60329309 5467717.57270684,2554030.87376881 5467724.64925125,2554013.28350129 5467716.66286542,2554010.25069654 5467718.48254827,2553973.45266562 5467702.30758962,2553949.89788209 5467758.41447743,2553964.45534487 5467765.38992834,2553985.5838846 5467774.2861556,2554049.27278427 5467800.5704634,2554053.31652394 5467788.74252489,2554115.38792774 5467816.1388611,2554126.40711832 5467791.77532963,2554113.16387093 5467786.51846807,2554110.93981411 5467791.47204916,2554061.10072278 5467770.84897689,2554063.42587309 5467765.49102183,2554061.20181628 5467763.06477804,2554054.73183282 5467761.54837566,2554058.472292 5467752.24777444,2554055.84386122 5467746.88981939,2554060.79744231 5467736.78047024,2554052.30558902 5467733.34329152,2554054.83292631 5467726.77221457)))",Bitumen,Industriegebiet_Fordwerke,11,0,8042.81,1000,,2.0
11,"MULTIPOLYGON (((2554220.12078498 5467750.63027858,2554219.66586426 5467750.73137207,2554217.79563467 5467755.58385966,2554218.80656959 5467757.20135553,2554217.34071396 5467757.60572949,2554212.33658613 5467776.0552917,2554202.07559674 5467773.17412719,2554195.85834701 5467797.68929889,2554237.812146 5467810.17434509,2554243.62502176 5467790.15783377,2554236.90230457 5467788.48979116,2554240.74385725 5467773.88178163,2554227.04568915 5467770.04022895,2554229.62357318 5467761.34618868,2554228.61263827 5467760.28470702,2554230.28068088 5467759.47595909,2554231.69598976 5467755.12893895,2554231.08942881 5467753.56198983,2554220.12078498 5467750.63027858)))",Bitumen,Industriegebiet_Fordwerke,12,0,1574.53,1000,2.0,
12,"MULTIPOLYGON (((2554180.99760375 5467748.45676851,2554179.53174812 5467759.12213187,2554173.31449839 5467757.65627624,2554168.4620108 5467759.67814607,2554168.86638477 5467762.3571236,2554165.58084629 5467760.84072122,2554163.45788297 5467762.45821709,2554163.15460249 5467765.3393816,2554156.33079181 5467763.87352597,2554154.05618826 5467774.8421698,2554191.1069529 5467783.33402309,2554198.48677779 5467752.44996143,2554180.99760375 5467748.45676851)))",Bitumen,Industriegebiet_Fordwerke,13,0,901.11,1000,,0.0
13,"MULTIPOLYGON (((2554165.37865931 5467841.41223398,2554137.22412191 5467832.97092744,2554133.38256924 5467846.11308134,2554161.63820012 5467854.30165415,2554165.37865931 5467841.41223398)))",Asbest|Faserzement,Industriegebiet_Fordwerke,14,0,398.29,3100,,
14,"MULTIPOLYGON (((2554263.48989285 5467778.4815355,2554267.634726 5467763.36805851,2554259.85052715 5467760.99236146,2554255.55405376 5467775.90365146,2554263.48989285 5467778.4815355)))",Bitumen,Industriegebiet_Fordwerke,15,0,127.65,1000,,
15,"MULTIPOLYGON (((2554269.85878281 5467773.6290479,2554276.68259349 5467775.75201123,2554270.81917098 5467795.61688231,2554265.15793546 5467813.56097706,2554259.14287271 5467811.2863735,2554257.27264312 5467818.56510489,2554264.0964538 5467820.43533449,2554265.51176268 5467815.22901967,2554284.77007282 5467820.99134869,2554289.26873319 5467806.13060543,2554287.3985036 5467805.06912377,2554282.546016 5467804.1087356,2554283.91077814 5467799.55952848,2554292.60481841 5467770.19186919,2554272.99268105 5467764.02516621,2554269.85878281 5467773.6290479)))",Bitumen,Industriegebiet_Fordwerke,16,0,936.65,2100,,
16,"MULTIPOLYGON (((2554305.59533207 5467773.88178163,2554291.54333675 5467820.73861496,2554309.99289895 5467826.1976635,2554320.10224811 5467790.86548821,2554312.11586228 5467788.48979116,2554315.50249424 5467776.86403963,2554305.59533207 5467773.88178163)))",Bitumen,Industriegebiet_Fordwerke,17,0,821.05,1000,,
